Year,Travel status,Jurisdiction,Count,Legend,Notes
2010,All,AK,1,1 to 4,
2010,All,AL,4,1 to 4,
2010,All,AR,1,1 to 4,
2010,All,IA,2,1 to 4,
2010,All,ID,3,1 to 4,
2010,All,KS,4,1 to 4,
2010,All,KY,2,1 to 4,
2010,All,LA,4,1 to 4,
2010,All,MT,4,1 to 4,
2010,All,ND,1,1 to 4,
2010,All,NM,1,1 to 4,
2010,All,NV,4,1 to 4,
2010,All,RI,1,1 to 4,
2010,All,SD,1,1 to 4,
2010,All,TN,1,1 to 4,
2010,All,VT,3,1 to 4,
2010,All,WV,2,1 to 4,
2010,All,AZ,12,5 to 49,
2010,All,CA,36,5 to 49,
2010,All,GA,12,5 to 49,
2010,All,IL,23,5 to 49,
2010,All,IN,14,5 to 49,
2010,All,ME,6,5 to 49,
2010,All,MI,9,5 to 49,
2010,All,MN,14,5 to 49,
2010,All,MO,6,5 to 49,
2010,All,NC,8,5 to 49,
2010,All,NE,7,5 to 49,
2010,All,NJ,29,5 to 49,
2010,All,OH,16,5 to 49,
2010,All,OK,5,5 to 49,
2010,All,PA,22,5 to 49,
2010,All,SC,13,5 to 49,
2010,All,TX,19,5 to 49,
2010,All,VA,14,5 to 49,
2010,All,WA,19,5 to 49,
2010,All,WI,8,5 to 49,
2010,All,FL,191,50 to 249,
2010,All,NY,178,50 to 249,
2010,All,PR,10911,250+,
